19,செம்பருத்தி பூவே,காதல் சொல்ல வந்தேன்,1999,பா.விஜய்,ஹரிஹரன்,"செம்பருத்தி பூவே
செம்பருத்தி பூவே
உள்ளம் அள்ளி போனாய்
நினைவில்லையா
"
20,எத்தனை ஜென்மம் எடுத்தாலும்,நீ வேணுண்டா செல்லம்,2006,பா.விஜய்,ஹரிஷ் ராகவேந்திரா,"எத்தனை ஜென்மம் எடுத்தாலும்
என்னுயிர் என்றும் உன்னை சேரும்
ஆண்: எத்தனை காலம் வாழ்ந்தாலும்
என்னுயிர் சுவாசம் உனதாகும்
"
21,ஒரு நாளும் உனை மறவாத,எஜமான்,1993,உதயக்குமார்,"SP பாலசுப்ரமணியம்,","ஒரு நாளும் உனை மறவாத
இனிதான வரம் வேண்டும்
உறவாலும் உடல் உயிராலும்
பிரியாத வரம் வேண்டும்
"
22,தாமரைப் பூவுக்கும்,பசும்பொன்,1995,வைரமுத்து,கிருஷ்ணச்சந்திரன்,"தாமரைப் பூவுக்கும்
தண்ணிக்கும் என்னைக்கும்
சண்டையே வந்ததில்ல
மாமன அள்ளி நீ
தாவணி போட்டுக்க
மச்சினி யாரும் இல்ல
"
23,பாரதிக்கு கண்ணம்மா,பிரியமுடன்,1998,ரா.ரவிசங்கர்,SP பாலசுப்ரமணியம்,"பாரதிக்கு கண்ணம்மா
நீ எனக்கு உயிரம்மா
நேற்றைக்கு நீ தந்த
பார்வைக்கு பக்தன் இங்கே
"
24,பூஜா வா பூஜா வா,பிரியமுடன்,1998,பழனி பாரதி,SP பாலசுப்ரமணியம்,"பூஜா வா பூஜா வா
பூஜைக்கு வந்த நிலவே வா
இந்திர மண்டலம்
தேடும் அழகே வா
"
25,துளி துளியாய்,பார்வை ஒன்றே போதுமே,2001,பா.விஜய்,"ஹரிஹரன், ஸ்வர்ணலதா","துளி துளியாய்
கொட்டும் மழை துளியாய்
என் இதயத்தை இதயத்தை
நனைத்து விட்டாய்
"
26,தாலியே தேவ இல்ல,தாமிரபரணி,2006,ஹரி,"ஹரிஹரன், பவதாரணி","தாலியே தேவ இல்ல
நீதான் என் பொஞ்சாதி
தாம்பூலம் தேவ இல்ல
நீதான் என் சரிபாதி
"
27,நெருப்பே சிக்கி முக்கி நெருப்பே,வேட்டையாடு விளையாடு,2006,தாமரை,"சோழர் சாய், பிராங்கோ","நெருப்பே சிக்கி முக்கி நெருப்பே
இதமா ஒத்தடம் கொடுப்பேன்
மெதுவா சொக்கி சொக்கி மயக்கி
மடியில் படுப்பேன்
"
28,மஞ்சள் வெயில் மாலையிலே,வேட்டையாடு விளையாடு,2006,தாமரை,"ஹரிஹரண், க்ரிஷ், நகுல்","வெண்ணிலவே
வெள்ளி வெள்ளி நிலாவே
போகும் இடம் எல்லாமே
கூட கூட வந்தாய்
"
29,வார்த்த ஒன்னு,தாமிரபரணி,2006,நா.முத்துக்குமார்,KK,"வார்த்த ஒன்னு வார்த்த ஒன்னு
கொல்ல பாக்குதே
அது வாள் எடுத்து வாள் எடுத்து
வெட்ட பாக்குதே
"
30,என்ன இந்த மாற்றமோ,கோரிப்பாளையம்,2010,நா.முத்துக்குமார்,"கார்த்திக், ஸ்ரீமதுமிதா","என்ன இந்த மாற்றமோ
என் மனசு வழுக்குதே
கண்ணு ரெண்டும் காந்தமோ
என்ன கட்டி இழுக்குதே
"
31,போகாதே போகாதே,தீபாவளி,2007,நா.முத்துக்குமார்,யுவன் சங்கர் ராஜா,"போகாதே போகாதே
நீ இருந்தால் நான் இருப்பேன்
போகாதே போகாதே
நீ பிாிந்தால் நான் இறப்பேன்
"
32,நினைத்த வரம் கேட்டு,காதல் ரோஜாவே,1997,வாலி,"உன்னி கிருஷ்ணன், சுனிதா"," நினைத்த வரம் கேட்டு
மனம் படிக்கும் ஒரு பாட்டு
இனிக்கும் ஸ்வரம் கேட்டு
அதை எடுத்துச் செல்லும் காற்று
"
33,கருப்பு நிலா நீதான் கலங்குவது ஏன்,என் ஆசை மச்சான்,1994,காளிதாசன்,KS சித்ரா,"கருப்பு நிலா
நீதான் கலங்குவது ஏன்
துளி துளியாய்
கண்ணீர் விழுவது ஏன்
"
34,தில்லானா தில்லானா,முத்து,1995,வைரமுத்து,"மனோ, சுஜாதா மோகன்","தில்லானா தில்லானா
நீ தித்திக்கின்ற தேனா
திக்கு திக்கு நெஞ்சில் தில்லானா
"
35,அன்புள்ள மன்னவனே,மேட்டுக்குடி,1996,பழனி பாரதி,"மனோ, ஸ்வர்ணலதா","அன்புள்ள மன்னவனே
ஆசை காதலனே
அன்புள்ள மன்னவனே
ஆசை காதலனே
இதயம் புரியாதா
என் முகவரி தெரியாதா
"
36,தென்றல் வந்து தீண்டும் போது,அவதாரம்,1995,இளையராஜா,இளையராஜா,"தென்றல் வந்து தீண்டும் போது
என்ன வண்ணமோ மனசுல
திங்கள் வந்து காயும் போது
என்ன வண்ணமோ நினைப்புல
"
37,உன் உதட்டோர சிவப்பே,பாஞ்சாலங்குறிச்சி,1996,வைரமுத்து,ஹரிஹரண்,"உன் உதட்டோர சிவப்பே
அந்த மருதாணி
கடனா கேட்கும்
கடனா கேட்கும்
"
38,மலரே மௌனமா,கர்ணா,1995,வைரமுத்து,SP பாலசுப்ரமணியம்,"மலரே மௌனமா
மௌனமே வேதமா
மலர்கள் பேசுமா
பேசினால் ஓயுமா அன்பே
"
39,முக்காலா முக்காபுலா,காதலன்,1994,வாலி,"மனோ, ஸ்வர்ணலதா","முக்காலா முக்காபுலா
லைலா ஓ லைலா
முக்காபுலா சொக்காமலா
லைலா ஓ லைலா
"
